2016-04-01 12:29:50 status unpacked liblwres90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status half-configured liblwres90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status installed liblwres90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 configure bind9utils:amd64 1:9.9.5.dfsg-3ubuntu0.8 <none>
2016-04-01 12:29:50 status unpacked bind9utils:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status half-configured bind9utils:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status installed bind9utils:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 configure bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8 <none>
2016-04-01 12:29:50 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:50 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status unpacked bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:51 status half-configured bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:53 status installed bind9:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:53 configure bind9-host:amd64 1:9.9.5.dfsg-3ubuntu0.8 <none>
2016-04-01 12:29:53 status unpacked bind9-host:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:53 status half-configured bind9-host:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:53 status installed bind9-host:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:53 configure dnsutils:amd64 1:9.9.5.dfsg-3ubuntu0.8 <none>
2016-04-01 12:29:53 status unpacked dnsutils:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:53 status half-configured dnsutils:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:53 status installed dnsutils:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:53 trigproc libc-bin:amd64 2.19-0ubuntu6.7 <none>
2016-04-01 12:29:53 status half-configured libc-bin:amd64 2.19-0ubuntu6.7
2016-04-01 12:29:53 status installed libc-bin:amd64 2.19-0ubuntu6.7
2016-04-01 12:29:54 startup packages configure
2016-04-01 12:29:56 startup archives unpack
2016-04-01 12:29:57 upgrade ca-certificates:all 20141019ubuntu0.14.04.1 20160104ubuntu0.14.04.1
2016-04-01 12:29:57 status half-configured ca-certificates:all 20141019ubuntu0.14.04.1
2016-04-01 12:29:57 status unpacked ca-certificates:all 20141019ubuntu0.14.04.1
2016-04-01 12:29:57 status half-installed ca-certificates:all 20141019ubuntu0.14.04.1
2016-04-01 12:29:57 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:29:57 status half-installed ca-certificates:all 20141019ubuntu0.14.04.1
2016-04-01 12:29:57 status unpacked ca-certificates:all 20160104ubuntu0.14.04.1
2016-04-01 12:29:57 status unpacked ca-certificates:all 20160104ubuntu0.14.04.1
2016-04-01 12:29:57 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2016-04-01 12:29:57 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:29:57 status installed man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:29:57 startup packages configure
2016-04-01 12:29:57 configure ca-certificates:all 20160104ubuntu0.14.04.1 <none>
